3682,18S-Am27
3754,18S-Am99
3771,18S-Um116
3776,18S-Um121
3814,18S-Am159
3821,18S-Am166
3827,18S-Um172
3829,18S-Cm174
4083,18S-Um428
4091,18S-Gm436
4117,18S-Cm462
4123,18S-Am468
4139,18S-Am484
4164,18S-Gm509
4167,18S-Am512
4172,18S-Cm517
4231,18S-Am576
4245,18S-Am590
4256,18S-Gm601
4282,18S-Um627
4299,18S-Gm644
4323,18S-Am668
4338,18S-Gm683
4452,18S-Cm797
4454,18S-Um799
4522,18S-Gm867
4686,18S-Am1031
4927,18S-Um1248
4903,18S-Cm1272
4943,18S-Um1288
4981,18S-Ψm1326
4983,18S-Gm1328
5038,18S-Am1383
5046,18S-Cm1391
5097,18S-Um1442
5102,18S-Gm1447
5145,18S-Gm1490
5335,18S-Am1678
5360,18S-Cm1703
5461,18S-Um1804
8322,28S-Am398
8324,28S-Am400
9236,28S-Gm1316
9246,28S-Am1326
9260,28S-Cm1340
9442,28S-Gm1522
9444,28S-Am1524
9454,28S-Am1534
9545,28S-Gm1625
9680,28S-Gm1760
9791,28S-Am1871
9801,28S-Cm1881
10271,28S-Cm2351
10283,28S-Am2363
10284,28S-Gm2364
10285,28S-Cm2365
10321,28S-Am2401
10335,28S-Um2415
10342,28S-Cm2422
10344,28S-Gm2424
10707,28S-Am2787
10724,28S-Cm2804
10735,28S-Am2815
10744,28S-Cm2824
10757,28S-Um2837
10781,28S-Cm2861
10796,28S-Gm2876
11613,28S-Cm3701
11630,28S-Am3718
11636,28S-Am3724
11656,28S-Gm3744
11672,28S-Am3760
11697,28S-Am3785
11704,28S-Gm3792
11720,28S-Cm3808
11730,28S-Ψm3818
11737,28S-Am3825
11742,28S-Am3830
11753,28S-Cm3841
11779,28S-Am3867
11781,28S-Cm3869
11799,28S-Cm3887
11811,28S-Gm3899
11837,28S-Um3925
11856,28S-Gm3944
11953,28S-Gm4042
11965,28S-Cm4054
12099,28S-Gm4196
12130,28S-Um4227
12131,28S-Gm4228
12209,28S-Um4306
12273,28S-Gm4370
12295,28S-Gm4392
12359,28S-Cm4456
12397,28S-Gm4494
12401,28S-Um4498
12402,28S-Gm4499
12426,28S-Am4523
12439,28S-Cm4536
12474,28S-Am4571
12493,28S-Am4590
12521,28S-Gm4618
12523,28S-Um4620
12526,28S-Gm4623
12540,28S-Gm4637
